GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Allocated,Estimate; Total: - Not allocated
0500000US24001,24001,"Allegany County, Maryland",28265,597,27668
0500000US24003,24003,"Anne Arundel County, Maryland",287144,10089,277055
0500000US24005,24005,"Baltimore County, Maryland",406090,8908,397182
0500000US24009,24009,"Calvert County, Maryland",44858,583,44275
0500000US24011,24011,"Caroline County, Maryland",15103,204,14899
0500000US24013,24013,"Carroll County, Maryland",86453,1199,85254
0500000US24015,24015,"Cecil County, Maryland",48905,469,48436
0500000US24017,24017,"Charles County, Maryland",77620,938,76682
0500000US24019,24019,"Dorchester County, Maryland",14810,174,14636
0500000US24021,24021,"Frederick County, Maryland",125669,1331,124338
0500000US24023,24023,"Garrett County, Maryland",13764,157,13607
0500000US24025,24025,"Harford County, Maryland",126773,7700,119073
0500000US24027,24027,"Howard County, Maryland",164092,1567,162525
0500000US24029,24029,"Kent County, Maryland",8408,102,8306
0500000US24031,24031,"Montgomery County, Maryland",536865,4931,531934
0500000US24033,24033,"Prince George's County, Maryland",458666,5292,453374
0500000US24035,24035,"Queen Anne's County, Maryland",25046,474,24572
0500000US24037,24037,"St. Mary's County, Maryland",54403,688,53715
0500000US24039,24039,"Somerset County, Maryland",7568,200,7368
0500000US24041,24041,"Talbot County, Maryland",17383,235,17148
0500000US24043,24043,"Washington County, Maryland",65684,1010,64674
0500000US24045,24045,"Wicomico County, Maryland",47156,792,46364
0500000US24047,24047,"Worcester County, Maryland",23334,294,23040
0500000US24510,24510,"Baltimore city, Maryland",267765,4401,263364
