GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Allocated,Estimate; Total: - Not allocated
0500000US24001,24001,"Allegany County, Maryland",73060,46,73014
0500000US24003,24003,"Anne Arundel County, Maryland",559737,394,559343
0500000US24005,24005,"Baltimore County, Maryland",825666,776,824890
0500000US24009,24009,"Calvert County, Maryland",90527,24,90503
0500000US24011,24011,"Caroline County, Maryland",32653,14,32639
0500000US24013,24013,"Carroll County, Maryland",167535,111,167424
0500000US24015,24015,"Cecil County, Maryland",102175,94,102081
0500000US24017,24017,"Charles County, Maryland",154357,80,154277
0500000US24019,24019,"Dorchester County, Maryland",32451,55,32396
0500000US24021,24021,"Frederick County, Maryland",243465,170,243295
0500000US24023,24023,"Garrett County, Maryland",29677,1,29676
0500000US24025,24025,"Harford County, Maryland",249776,165,249611
0500000US24027,24027,"Howard County, Maryland",308447,193,308254
0500000US24029,24029,"Kent County, Maryland",19819,0,19819
0500000US24031,24031,"Montgomery County, Maryland",1026371,878,1025493
0500000US24033,24033,"Prince George's County, Maryland",897693,525,897168
0500000US24035,24035,"Queen Anne's County, Maryland",48712,0,48712
0500000US24037,24037,"St. Mary's County, Maryland",110675,73,110602
0500000US24039,24039,"Somerset County, Maryland",25899,6,25893
0500000US24041,24041,"Talbot County, Maryland",37668,27,37641
0500000US24043,24043,"Washington County, Maryland",149571,144,149427
0500000US24045,24045,"Wicomico County, Maryland",101527,88,101439
0500000US24047,24047,"Worcester County, Maryland",51441,27,51414
0500000US24510,24510,"Baltimore city, Maryland",621000,849,620151
