GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Allocated,Estimate; Total: - Not allocated
0500000US24001,24001,"Allegany County, Maryland",71233,3875,67358
0500000US24003,24003,"Anne Arundel County, Maryland",540011,45058,494953
0500000US24005,24005,"Baltimore County, Maryland",796610,58521,738089
0500000US24009,24009,"Calvert County, Maryland",87884,4308,83576
0500000US24011,24011,"Caroline County, Maryland",31384,1505,29879
0500000US24013,24013,"Carroll County, Maryland",162795,8750,154045
0500000US24015,24015,"Cecil County, Maryland",98718,4958,93760
0500000US24017,24017,"Charles County, Maryland",148930,9466,139464
0500000US24019,24019,"Dorchester County, Maryland",31335,1971,29364
0500000US24021,24021,"Frederick County, Maryland",235480,13151,222329
0500000US24023,24023,"Garrett County, Maryland",28965,1218,27747
0500000US24025,24025,"Harford County, Maryland",241579,25903,215676
0500000US24027,24027,"Howard County, Maryland",297710,17876,279834
0500000US24029,24029,"Kent County, Maryland",19282,878,18404
0500000US24031,24031,"Montgomery County, Maryland",985982,65267,920715
0500000US24033,24033,"Prince George's County, Maryland",862948,59112,803836
0500000US24035,24035,"Queen Anne's County, Maryland",47284,2401,44883
0500000US24037,24037,"St. Mary's County, Maryland",106343,4741,101602
0500000US24039,24039,"Somerset County, Maryland",25188,964,24224
0500000US24041,24041,"Talbot County, Maryland",36704,1842,34862
0500000US24043,24043,"Washington County, Maryland",144737,8336,136401
0500000US24045,24045,"Wicomico County, Maryland",98038,4822,93216
0500000US24047,24047,"Worcester County, Maryland",50009,3105,46904
0500000US24510,24510,"Baltimore city, Maryland",596726,55394,541332
