GEO.id2,Id2,24003,24005,24013,24025,24027,24035,24510
HC01_EST_VC01,Households; Estimate; Total,203336,312900,60004,91727,108555,17522,242268
HC01_MOE_VC01,Households; Margin of Error; Total,964,1478,467,594,700,396,1587
HC02_EST_VC01,Families; Estimate; Total,141164,203679,44768,66987,80937,13207,124878
HC02_MOE_VC01,Families; Margin of Error; Total,1469,1966,517,894,947,386,1519
HC03_EST_VC01,Married-couple families; Estimate; Total,108188,143680,36803,51911,65393,10924,58204
HC03_MOE_VC01,Married-couple families; Margin of Error; Total,1564,2069,599,994,1015,375,1293
HC04_EST_VC01,Nonfamily households; Estimate; Total,62172,109221,15236,24740,27618,4315,117390
HC04_MOE_VC01,Nonfamily households; Margin of Error; Total,1411,1849,542,838,864,371,1664
HC01_EST_VC02,"Households; Estimate; Less than $10,000",3.2,4.8,2.6,4.2,2.3,3,13.1
HC01_MOE_VC02,"Households; Margin of Error; Less than $10,000",0.3,0.3,0.4,0.5,0.4,0.7,0.4
HC02_EST_VC02,"Families; Estimate; Less than $10,000",1.7,2.7,1.5,2.9,1.4,2,9.3
HC02_MOE_VC02,"Families; Margin of Error; Less than $10,000",0.3,0.3,0.3,0.4,0.3,0.7,0.5
HC03_EST_VC02,"Married-couple families; Estimate; Less than $10,000",0.6,1.1,0.5,0.9,0.6,1.1,2.2
HC03_MOE_VC02,"Married-couple families; Margin of Error; Less than $10,000",0.2,0.2,0.2,0.3,0.2,0.5,0.4
HC04_EST_VC02,"Nonfamily households; Estimate; Less than $10,000",7.1,9.3,6.7,9,5.2,7.4,18.4
HC04_MOE_VC02,"Nonfamily households; Margin of Error; Less than $10,000",0.8,0.7,1.1,1.3,1,2.1,0.7
HC01_EST_VC03,"Households; Estimate; $10,000 to $14,999",2.1,3.4,2.4,2.9,1.9,2.4,7.5
HC01_MOE_VC03,"Households; Margin of Error; $10,000 to $14,999",0.2,0.2,0.3,0.3,0.4,0.6,0.3
HC02_EST_VC03,"Families; Estimate; $10,000 to $14,999",1.1,1.8,0.8,2,1.3,1.8,5.5
HC02_MOE_VC03,"Families; Margin of Error; $10,000 to $14,999",0.2,0.2,0.3,0.4,0.4,0.8,0.5
HC03_EST_VC03,"Married-couple families; Estimate; $10,000 to $14,999",0.6,0.9,0.3,0.9,0.5,0.3,2.6
HC03_MOE_VC03,"Married-couple families; Margin of Error; $10,000 to $14,999",0.2,0.2,0.2,0.3,0.2,0.2,0.4
HC04_EST_VC03,"Nonfamily households; Estimate; $10,000 to $14,999",4.6,6.5,7.2,5.5,3.8,6.1,9.9
HC04_MOE_VC03,"Nonfamily households; Margin of Error; $10,000 to $14,999",0.6,0.5,1.3,1,0.9,2,0.5
HC01_EST_VC04,"Households; Estimate; $15,000 to $24,999",5,7.5,6.8,6.3,3.5,5.4,11.6
HC01_MOE_VC04,"Households; Margin of Error; $15,000 to $24,999",0.4,0.3,0.6,0.5,0.4,1.1,0.4
HC02_EST_VC04,"Families; Estimate; $15,000 to $24,999",3,5,3.2,3.3,2,3.1,9.7
HC02_MOE_VC04,"Families; Margin of Error; $15,000 to $24,999",0.5,0.3,0.6,0.5,0.3,0.8,0.5
HC03_EST_VC04,"Married-couple families; Estimate; $15,000 to $24,999",1.8,2.9,1.9,2,1.4,1.5,5.8
HC03_MOE_VC04,"Married-couple families; Margin of Error; $15,000 to $24,999",0.4,0.3,0.5,0.4,0.3,0.6,0.6
HC04_EST_VC04,"Nonfamily households; Estimate; $15,000 to $24,999",10.1,13,18.2,14.9,8.1,12.9,14
HC04_MOE_VC04,"Nonfamily households; Margin of Error; $15,000 to $24,999",0.9,0.6,1.9,1.3,1.4,3.7,0.7
HC01_EST_VC05,"Households; Estimate; $25,000 to $34,999",5.3,8.3,6.3,6.5,4.2,6.5,11.1
HC01_MOE_VC05,"Households; Margin of Error; $25,000 to $34,999",0.3,0.3,0.6,0.5,0.5,1,0.4
HC02_EST_VC05,"Families; Estimate; $25,000 to $34,999",4,6.5,4,5.3,3.1,4.8,10.9
HC02_MOE_VC05,"Families; Margin of Error; $25,000 to $34,999",0.4,0.4,0.6,0.6,0.4,0.9,0.6
HC03_EST_VC05,"Married-couple families; Estimate; $25,000 to $34,999",2.4,4.2,2.8,3.9,2,3.8,7.1
HC03_MOE_VC05,"Married-couple families; Margin of Error; $25,000 to $34,999",0.3,0.3,0.5,0.5,0.4,0.8,0.7
HC04_EST_VC05,"Nonfamily households; Estimate; $25,000 to $34,999",8.6,12.3,13.3,10.2,7.8,11.5,11.7
HC04_MOE_VC05,"Nonfamily households; Margin of Error; $25,000 to $34,999",0.7,0.7,1.6,1.3,1.4,2.8,0.7
HC01_EST_VC06,"Households; Estimate; $35,000 to $49,999",9.3,12.2,10,9.2,6.2,8.9,13
HC01_MOE_VC06,"Households; Margin of Error; $35,000 to $49,999",0.5,0.4,0.8,0.7,0.6,1.2,0.4
HC02_EST_VC06,"Families; Estimate; $35,000 to $49,999",8.2,11,8.4,8.1,4.9,7.8,13.6
HC02_MOE_VC06,"Families; Margin of Error; $35,000 to $49,999",0.6,0.6,0.9,0.8,0.6,1.4,0.7
HC03_EST_VC06,"Married-couple families; Estimate; $35,000 to $49,999",6,8.2,6.8,6.4,3.6,6.8,11
HC03_MOE_VC06,"Married-couple families; Margin of Error; $35,000 to $49,999",0.6,0.4,0.8,0.7,0.5,1.4,0.9
HC04_EST_VC06,"Nonfamily households; Estimate; $35,000 to $49,999",13.4,15.5,15.6,13,10.1,11.3,12.4
HC04_MOE_VC06,"Nonfamily households; Margin of Error; $35,000 to $49,999",0.8,0.7,1.6,1.3,1.3,2.8,0.6
HC01_EST_VC07,"Households; Estimate; $50,000 to $74,999",16.2,19.1,15.2,17.6,13.3,18.1,16.7
HC01_MOE_VC07,"Households; Margin of Error; $50,000 to $74,999",0.6,0.5,0.8,0.8,0.7,1.9,0.5
HC02_EST_VC07,"Families; Estimate; $50,000 to $74,999",15.3,18.1,14.1,16.6,10.7,17.3,17.7
HC02_MOE_VC07,"Families; Margin of Error; $50,000 to $74,999",0.6,0.7,0.9,0.9,0.7,2.2,0.8
HC03_EST_VC07,"Married-couple families; Estimate; $50,000 to $74,999",13.4,16,13.7,15.4,8.4,16.5,18.7
HC03_MOE_VC07,"Married-couple families; Margin of Error; $50,000 to $74,999",0.7,0.8,0.9,1,0.7,2.3,1.1
