0,383304,,202669,,
1,1382695,,711554,,
2,2454374,,797286,,
3,1194679,,311717,,
4,515503,,143163,,
,,,,,
,5930555,,2166389,,2.737530056
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,0 28324,,3059,,35249
,1 9233,,9820,,38300
,2 5683,,9404,,
,3 1183,,4211,,
,4 253,,1830,,
,5 62,,,,
,6 2052,,28324,,73549
,7 10116,,,,
,8 2422,,,,
,9 5028,,,,
,10 1624,,,,
,11 475,,,,
,12 567,,,,
,13 4116,,0 3636,0,
,14 902,,1 2332,,
,15 1370,,2 3013,,
,16 1097,,3 1604,,
,17 551,,4 1422,,
,18 196,,5 3428,,
,19 4859,,6 4542,,
,20 813,,7 4428,,
,21 1823,,8 4076,,
,22 1237,,9 4574,,
,23 742,,10 4898,,
,24 244,,11 3594,,
,,,12 5302,,
,0,,13 5085,,
,,,14 1820,,
,,,15 2643,,
,,,16 1682,,
,,,17 2442,,
,,,18 3186,,
,,,19 2550,,
,,,20 1837,,
,,,21 2038,,
,,,22 3417,,
