category,24001,24003,24005,24009,24011,24013,24015,24017,24019,24021,24023,24025,24027,24029,24031,24033,24035,24037,24039,24041,24043,24045,24047,24510
0,2136,15835,23150,2609,1479,4800,2910,4402,1429,6888,1369,7090,8749,1074,28632,25114,1464,3113,1282,1339,4200,2884,1560,17509
1,1570,8014,19379,1328,1162,2656,2063,2209,1148,4310,1437,4692,4268,1013,25692,21111,1029,2110,1278,1031,3642,1962,1204,15981
2,2106,8334,17688,1246,849,2533,1794,2124,772,3963,956,3979,4219,1216,19058,21333,824,2138,1581,834,2604,2969,943,14606
3,1317,7076,10235,1211,506,2152,1235,1865,422,2847,594,2967,3136,761,9782,11821,654,1435,795,394,1703,1904,665,8944
4,1666,10876,16226,1626,597,3400,2462,2793,523,4620,476,4810,5132,524,15903,19705,849,2438,653,671,2768,3012,930,12592
5,3235,21673,31422,3502,1335,6457,3746,6448,1299,9424,923,9192,11324,421,36139,37898,1602,4374,987,1268,5755,5365,1723,26609
6,7326,60558,88448,8921,3216,15861,9907,16175,3005,24624,2106,25152,30718,490,104349,101182,4293,12111,1414,3351,15537,10730,4477,70551
7,7001,60384,82446,8699,3158,15116,9608,16127,2760,24454,2216,24524,31335,898,105216,97620,4279,11885,1772,2867,14904,9588,3831,61986
8,5067,43734,60465,6585,2062,11824,7517,12306,2385,18610,2164,18791,25155,1296,85035,71705,3296,8476,1787,2193,10769,6831,3155,45217
9,4454,36209,49460,5833,2015,11149,6977,10925,1656,17145,1934,16041,22528,1135,69245,58123,3080,6813,1602,2183,10115,5509,2823,38538
10,4262,35058,47313,6752,2068,12086,6820,11078,2037,16594,2017,16402,21203,1097,63562,54734,3523,7158,1785,2095,9587,5685,3012,35818
11,3240,29699,42503,4604,2007,9058,5731,8390,1886,13252,1808,13531,17941,1056,55968,46952,2824,6295,1518,1886,8024,5135,2451,33930
12,4996,39743,56899,7684,2383,13694,7768,11810,2442,18297,2207,18940,23237,1403,71530,62524,3736,7995,2053,2659,10443,6664,3762,43781
13,5043,37803,56268,6915,2342,12701,7814,10626,2369,17173,2107,18283,22188,1586,69436,57613,3729,7423,1635,2961,10087,6502,3898,39602
14,3158,28131,37894,5189,1497,9171,4927,8013,1338,12188,1248,12650,14162,1508,45137,38405,2503,5582,1268,1476,6759,5650,2612,22380
15,2424,17946,27140,2911,866,5556,3412,4469,914,7495,987,8153,9263,555,32443,27872,1610,2835,675,1478,4873,3127,2107,19485
16,2110,16247,24940,2398,802,4728,2899,3702,883,6535,840,7095,8395,722,29460,24102,1387,2672,646,1321,4235,2548,1818,16279
17,1996,11900,18986,1865,698,3708,2119,2930,810,5072,782,5797,6218,432,21375,17007,1445,2077,474,1275,3400,2240,1845,16170
18,2655,15320,23486,2400,738,5329,2949,3666,1050,5774,1040,7557,8232,663,26940,21375,1705,2775,601,1994,4545,3088,2538,16074
19,2227,11270,20713,1839,675,4199,2360,2784,871,4903,807,5513,5819,737,21533,16076,1184,2244,651,1398,3674,2358,2068,13654
20,1586,8885,16415,1455,517,2992,1531,2090,598,3794,465,4378,4614,534,17319,10929,969,1500,413,939,2990,1594,1339,10274
21,1516,6973,16581,1382,458,2657,1365,1648,615,3543,477,3656,3734,355,17406,8811,856,1354,324,967,2537,1540,1093,8878
22,2460,23612,34903,3160,1233,5617,4047,6174,1323,9868,855,9773,12545,447,46700,40805,1759,4812,788,1219,6119,4298,1667,33596
