category,24001,24003,24005,24009,24011,24013,24015,24017,24019,24021,24023,24025,24027,24029,24031,24033,24035,24037,24039,24041,24043,24045,24047,24510
0,3636,34704,48265,7703,2215,11824,7110,11740,1728,17704,1676,17083,22234,985,67489,54988,3235,7589,1224,2060,9263,6226,2607,33879
1,2332,21032,30546,4518,1305,7761,4455,7532,1120,10594,1185,10879,14221,556,40456,33373,2031,4665,740,1233,5904,3661,1640,19837
2,3013,13056,23089,2413,768,4609,2668,4061,551,6383,713,5955,7347,963,22603,28779,1190,3136,1622,713,3220,5032,1031,18505
3,1604,7598,12028,1301,381,2235,1199,2081,219,2847,431,3048,2777,522,9991,14360,592,1564,640,189,1853,2462,672,10992
4,1422,7684,12089,929,360,2302,1908,1700,290,3038,274,3291,3018,361,9669,15518,457,1792,921,402,1845,2694,549,11061
5,3428,21725,32404,3127,1308,5939,3442,6230,1459,8906,1065,8866,11000,857,36782,39484,1459,4094,1539,1223,5640,5613,1645,29984
6,4542,38960,58035,4798,1879,8526,5731,9377,1935,14429,1481,15122,18288,977,67087,67984,2315,7644,1759,1898,9874,6239,2484,61135
7,4428,38955,54142,4733,2083,8309,5875,9477,1767,14998,1585,15021,19852,1114,71268,65567,2599,7123,1546,1659,9383,5770,2203,51356
8,4076,35183,50450,4588,1593,8437,5757,9441,2052,14330,1720,14796,19602,820,71806,60964,2484,6703,1636,1694,8621,5627,2523,38394
9,4574,38375,50712,6386,2301,12048,7470,12117,1564,18371,1833,16776,23317,746,71311,62282,3252,7603,1431,2314,10922,5768,2856,36629
10,4898,41549,55552,8096,2318,14253,7845,13133,2239,19569,2034,19309,24665,1176,75159,64975,3990,8542,1524,2339,11404,6391,3460,39420
11,3594,35463,49918,5229,2349,10575,6817,10025,2029,15606,1731,15996,21034,922,65717,55692,3123,7907,1128,2037,9498,6225,2707,36493
12,5302,43250,60502,8387,2668,14927,8398,12601,2568,19824,2365,20570,25068,1413,76849,65626,4135,8603,1884,2805,11247,6736,4024,43426
13,5085,37113,57388,6562,2494,12306,7911,9895,2520,16531,2336,18102,21700,1486,69268,57464,3833,7387,1719,3084,9971,6568,4051,39597
14,1820,13823,21690,2370,707,4498,2289,3532,1111,5886,773,6258,6829,581,26444,20559,1271,2539,535,907,3859,2499,1589,15188
15,2643,19255,29521,3013,1065,5922,3692,4330,1127,7817,1333,8859,9467,852,34177,29325,1874,2761,992,1757,5177,3419,2467,19950
16,1682,11331,17696,1972,765,3827,2305,2614,885,4792,833,5090,5539,623,19773,16746,1088,1935,537,1173,3128,2044,1696,11904
17,2442,14629,21575,2114,921,4384,2537,3384,1044,6132,982,7043,7217,661,24014,19718,1812,2471,788,1565,4050,2578,2266,13092
18,3186,17539,26901,2662,1117,6017,3382,3981,1566,6438,1554,8638,9198,1234,30745,23659,2168,3188,893,2594,5248,3430,3261,17078
19,2550,11611,21888,1617,828,4303,2383,2535,1136,4865,1215,5582,5581,753,22072,15510,1180,2098,753,1811,4034,2353,2437,13375
20,1837,8877,17498,1291,679,2992,1424,2018,775,3569,588,4253,4064,665,17170,10657,981,1400,468,1188,3255,1814,1682,10198
21,2038,8205,21426,1601,543,3224,1434,1728,807,4232,652,4319,3931,769,21452,9838,934,1448,442,1385,3132,1902,1408,9414
22,3417,35363,49644,4704,2014,8226,5928,9222,2042,14512,1454,14110,18166,887,66557,59748,2597,7422,1259,1769,8742,6131,2261,41547
